Publication Date,Fiscal Year,Fundind Source Name,FPS Group,FPS Group Name,Agency Number,Agency Name,Revenue Category,Revenue Category Name,Revenue Class Code,Revenue Class Name,Budget Code,Revenue Source,Revenue Source Name,Revenue Structure Description,Adopted Budget Amount,Current Modified Budget Amount,Yr1_FY,Year 1 Revenue Amount,Year 2 Revenue Amount,Year 3 Revenue Amount,Year 4 Revenue Amount
2016 11 17,2017,Federal Grants,35,Other - Federal,017,Department of Emergency Management,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,2461,04244,URBAN AREAS SECURITY INITIATIVE,FFY14 UASI -  MANAGEMENT&ADMINISTRATION,0,9994,2017,9994,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,017,Department of Emergency Management,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,2470,04244,URBAN AREAS SECURITY INITIATIVE,FFY15 UASI-URBAN AREAS SECURITY INITIATIVE,19267206,19271708,2017,19271708,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,030,Department of City Planning,25,Federal Grants-Categorical,220,TRANSPORTATION,0101,16053,UMTA MASS TRANSIT STUDIES,FTA/FHWA SUBR. TRANSIT STUDIES,1502004,1502004,2017,1502004,1503445,1503445,1503445
2016 11 17,2017,Federal Grants,35,Other - Federal,030,Department of City Planning,25,Federal Grants-Categorical,220,TRANSPORTATION,0103,16053,UMTA MASS TRANSIT STUDIES,TRANSPORTATION ENHANCEMENT IST,440000,440000,2017,440000,440000,440000,440000
2016 11 17,2017,Federal Grants,35,Other - Federal,032,Department of Investigation,25,Federal Grants-Categorical,221,TREASURY,3536,03204,Asset Forfeitures,ASSET FORFEITURE - TREASURY,0,805350,2017,805350,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,032,Department of Investigation,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,3534,03278,FEMA DISASTER GRANTS - PUBLIC ASSISTANCE,INTEGRITY MONITOR - FEMA NYCHA,2640588,4772358,2017,4772358,2596860,2596860,0
2016 11 17,2017,Federal Grants,35,Other - Federal,032,Department of Investigation,25,Federal Grants-Categorical,216,JUSTICE,3537,04283,Equitable Sharing Program,ASSET FORFEITURE - DOJ,199325,5217291,2017,5217291,199325,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,032,Department of Investigation,25,Federal Grants-Categorical,216,JUSTICE,3539,04283,Equitable Sharing Program,ASSET FORFEITURE - PEACE OFFICER ACADEMY,0,483433,2017,483433,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,032,Department of Investigation,25,Federal Grants-Categorical,216,JUSTICE,9002,04283,Equitable Sharing Program,NYPD IG ASSET FORFEITURE - DOJ,507000,507000,2017,507000,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,221,TREASURY,4008,03204,Asset Forfeitures,ASSET FORFEITURE - TREASURY,0,7105399,2017,7105399,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1683,03270,LAW ENFORCEMENT TERRORISM PREVENTION PGM,FFY14 LAW ENFORCEMENT TERRORISM PREVENTION,0,114945,2017,114945,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1695,03270,LAW ENFORCEMENT TERRORISM PREVENTION PGM,FFY15 LAW ENFORCEMENT TERRORISM PREVENTION,0,8598077,2017,8598077,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1666,03275,STATE HOMELAND SECURITY  GRANT PROGRAM,FFY14 BOMB SQUAD INITIATIVE,0,340006,2017,340006,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1693,03275,STATE HOMELAND SECURITY  GRANT PROGRAM,FFY15 BOMB SQUAD INITIATIVE,0,463360,2017,463360,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1563,03279,SECURING THE CITIES,FFY10 SECURING THE CITIES INITIATIVE IV,0,2167892,2017,2167892,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1595,03279,SECURING THE CITIES,FFY11 SECURING THE CITIES INITIATIVE IV,0,4251847,2017,4251847,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1596,03279,SECURING THE CITIES,FFY12 SECURING THE CITIES INITIATIVE,0,7683221,2017,7683221,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1655,03279,SECURING THE CITIES,FFY13 SECURING THE CITIES INITIATIVE,0,5144891,2017,5144891,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1665,03279,SECURING THE CITIES,FFY14 SECURING THE CITIES INITIATIVE,0,6606715,2017,6606715,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1662,03280,PORT SECURITY,FFY14 - PORT SECURITY PGM,0,910965,2017,910965,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1697,03280,PORT SECURITY,FFY15 - PORT SECURITY PGM,0,6392471,2017,6392471,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1663,03281,RAIL AND TRANSIT  SECURITY,FFY14 TRANSIT SECURITY GRANT PROGRAM,0,969692,2017,969692,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1696,03281,RAIL AND TRANSIT  SECURITY,FFY15 TRANSIT SECURITY GRANT PROGRAM,0,603929,2017,603929,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,E999,03301,FEMA Sandy B Emergency Protective Measures,FEMA SANDY B EMERGENCY PROTECTIVE MEASURES,1236422,1236422,2017,1236422,123120,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,E999,03304,FEMA Sandy E Buildings and Equipment,FEMA SANDY E BUILDINGS AND EQUIPMENT,643000,4115144,2017,4115144,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,219,STATE,0020,04017,UNITED NATIONS + CONSULATE,PROTECTION OF FOREIGN MISSIONS AND OFFICIALS (PFMO) UN,25600000,25600000,2017,25600000,25600000,7000000,7000000
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,219,STATE,1803,04019,"Cultural, Technical & Educational Centers",HAITIAN STABILIZATION INIATIVE,0,317677,2017,317677,281633,281633,281633
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1900,04028,ENFORCEMENT OVERTIME DRUG,DRUG ENFORCEMENT OVERTIME,702500,899893,2017,899893,702500,702500,702500
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,2737,04244,URBAN AREAS SECURITY INITIATIVE,FFY14 URBAN AREA SECURITY INITIATIVE,0,13342110,2017,13342110,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,2742,04244,URBAN AREAS SECURITY INITIATIVE,FFY15 URBAN AREA SECURITY INITIATIVE,0,69907045,2017,69907045,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1813,04247,MISSING CHILDREN'S ASSISTANCE PROGRAM,FFY15 INTERNET CRIMES AGAINST CHILDREN,0,200673,2017,200673,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1685,04249,DOMESTIC PREPAREDNESS EQUIPMENT SUPPORT,FFY14 STATE HOMELAND SECURITY,0,3049145,2017,3049145,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1722,04249,DOMESTIC PREPAREDNESS EQUIPMENT SUPPORT,FFY15 EXPLOSIVE DETECTION K9-SHSP I,0,20000,2017,20000,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,1723,04249,DOMESTIC PREPAREDNESS EQUIPMENT SUPPORT,FFY15 EXPLOSIVE DETECTION K9-SHSP II,0,55648,2017,55648,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1676,04256,NATIONAL INSTITUTE OF JUSTICE RESEARCH,FFY'13 TEST EFFECT COMPONENTS OF HOT SPOT,40785,40785,2017,40785,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1807,04256,NATIONAL INSTITUTE OF JUSTICE RESEARCH,FY14 TESTING GEOSPATIAL PREDICTIVE POLICING STRATEGIES,39156,221602,2017,221602,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1622,04261,JUSTICE ASSISTANCE GRANT FUNDS,JUSTICE ASSISTANCE GRANT (JAG),500352,0,2017,0,500352,500352,500352
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1692,04261,JUSTICE ASSISTANCE GRANT FUNDS,FFY14 JUSTICE ASSISTANCE GRANT (JAG),0,330125,2017,330125,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,1726,04261,JUSTICE ASSISTANCE GRANT FUNDS,BYRNE JUSTICE ASSISTANCE GRANT (JAG) 52 PCT,0,8332,2017,8332,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,056,Police Department,25,Federal Grants-Categorical,216,JUSTICE,4006,04283,Equitable Sharing Program,ASSET FORFEITURE - DOJ,0,14723878,2017,14723878,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,210,AGRICULTURE,3100,03005,COOPERATIVE FORESTRY ASSISTANCE,US FOREST SERVICES-IMT REIMBURSEMENT,0,252320,2017,252320,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,3802,03255,URBAN SEARCH RESCUE AND RESPONSE SYSTEM,FFY14 URBAN SEARCH & RESCUE,0,7500,2017,7500,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,3902,03255,URBAN SEARCH RESCUE AND RESPONSE SYSTEM,FFY15 TECHNICAL RESCUE AND USAR,0,99720,2017,99720,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,4125,03268,ASSISTANCE TO FIREFIGHTERS GRANT,ALIVE FIRE DYNAMICS - ASST TO FF GRANT,0,43255,2017,43255,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,6912,03280,PORT SECURITY,PORT SECURITY FFY14,0,407347,2017,407347,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,6922,03280,PORT SECURITY,PORT SECURITY FFY15,0,4104854,2017,4104854,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,6932,03280,PORT SECURITY,PORT SECURITY FFY16,0,2718447,2017,2718447,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,E999,03304,FEMA Sandy E Buildings and Equipment,FEMA SANDY E BUILDINGS AND EQUIPMENT,0,310000,2017,310000,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,7712,04244,URBAN AREAS SECURITY INITIATIVE,FFY14 URBAN AREA SECURITY INIT,0,9763651,2017,9763651,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,7722,04244,URBAN AREAS SECURITY INITIATIVE,FFY15 URBAN AREA SECURITY INIT,0,20243473,2017,20243473,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,7732,04249,DOMESTIC PREPAREDNESS EQUIPMENT SUPPORT,FFY15 HOMELAND SECURITY-SHSG,0,24780296,2017,24780296,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,293,Health and Human Services,9282,13042,Hospital Preparedness Program (HPP) Ebola Preparedness and R,EMS EBOLA PREPARDENESS AND RESPONSE,0,205000,2017,205000,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,293,Health and Human Services,5412,15611,OCCUPATIONAL SAFETY AND HEALTH PROGRAM,WTC CLINICAL CENTERS OF EXCELLENCE,6144032,6144032,2017,6144032,6144032,6144032,6144032
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,293,Health and Human Services,5422,15611,OCCUPATIONAL SAFETY AND HEALTH PROGRAM,WTC DATA CENTERS,2634217,2634217,2017,2634217,2634217,2634217,2634217
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,293,Health and Human Services,5452,15611,OCCUPATIONAL SAFETY AND HEALTH PROGRAM,WTC CLINICAL CENTERS REIMBURSEMENT,8883915,8883915,2017,8883915,8883915,8883915,8883915
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,293,Health and Human Services,9215,15634,Emergency Medical Services for Children,PREHOSPITAL ORAL STEROIDS,0,89665,2017,89665,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,057,Fire Department,25,Federal Grants-Categorical,293,Health and Human Services,9302,15636,HHS Programs for Disaster Relief Appropriations Act - Non Co,ASPR RESEARCH,0,10005,2017,10005,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,072,Department of Correction,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,E999,03304,FEMA Sandy E Buildings and Equipment,FEMA SANDY E BUILDINGS AND EQUIPMENT,0,505301,2017,505301,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,072,Department of Correction,25,Federal Grants-Categorical,216,JUSTICE,0401,04197,STATE CRIMINAL ALIENS ASSISTAN,STATE CRIMINAL ALIENS ASSISTAN,5961617,5961617,2017,5961617,5961617,5961617,5961617
2016 11 17,2017,Federal Grants,35,Other - Federal,072,Department of Correction,25,Federal Grants-Categorical,216,JUSTICE,5029,04284,Protecting Inmates and Safeguarding Communities Dis Gnt Prog,PRISON RAPE ELIMINATION ACT PROGRAM (PREA),394624,532671,2017,532671,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,072,Department of Correction,25,Federal Grants-Categorical,296,U.S. SOCIAL SECURITY ADMINISTRATION,0401,13016,Supplemental Security Income,SSI BOUNTY,754000,754000,2017,754000,754000,754000,754000
2016 11 17,2017,Federal Grants,35,Other - Federal,072,Department of Correction,25,Federal Grants-Categorical,210,AGRICULTURE,0401,13918,SCHOOL LUNCH-PRISONS,SCHOOL LUNCH-PRISONS,900000,900000,2017,900000,900000,900000,900000
2016 11 17,2017,Federal Grants,35,Other - Federal,072,Department of Correction,25,Federal Grants-Categorical,210,AGRICULTURE,0401,13920,SCHOOL BREAKFAST PROGRAM-PRISONS,SCHOOL BREAKFAST PROGRAM,670000,670000,2017,670000,670000,670000,670000
2016 11 17,2017,Federal Grants,35,Other - Federal,098,Miscellaneous,25,Federal Grants-Categorical,221,TREASURY,0601,03204,Asset Forfeitures,ASSET FORFEITURE - TREASURY,0,578641,2017,578641,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,098,Miscellaneous,25,Federal Grants-Categorical,216,JUSTICE,0600,04283,Equitable Sharing Program,ASSET FORFEITURE - DOJ,250000,2737711,2017,2737711,250000,250000,250000
2016 11 17,2017,Federal Grants,35,Other - Federal,099,Debt Service,25,Federal Grants-Categorical,221,TREASURY,S001,03203,BUILD AMERICA BONDS REIMBURSEMENT,BUILD AMERICA BONDS - ARRA,81698935,81698935,2017,82051465,81259327,80106993,78383983
2016 11 17,2017,Federal Grants,35,Other - Federal,099,Debt Service,25,Federal Grants-Categorical,221,TREASURY,S002,03203,BUILD AMERICA BONDS REIMBURSEMENT,BUILD AMERICA TFA BONDS - ARRA,116195086,116195086,2017,116696467,115707680,115034757,114229819
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,11908,"TITLE III, PART C: NUTRITION SERVICES",TITLE III (O.A.A)-NUTRITION,18849277,18849277,2017,18849277,18849277,18849277,18849277
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,11909,"TITLE III, PART B: SUPPORTIVE SERVICES A",TITLE III (O.A.A.)-AREA SERVIC,10270814,10270814,2017,10270814,10270814,10270814,10270814
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,294,COMM ON NATIONAL+COMMUNITY,0100,11910,FOSTER GRANDPARENT GRANT,FOSTER GRANDPARENTS GRANT,1617485,1617485,2017,1617485,1617485,1617485,1617485
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,217,LABOR,0100,11921,TITLE V NCOA EMPLOYMENT PROG.,TITLE V NCOA EMPLOYMENT GRANT,275000,275000,2017,275000,275000,275000,275000
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,217,LABOR,0100,11922,TITLE V SEN COM SER EMP PROGM.,TITLE IX SEN COM SER EMP PRGRM,4002601,3544136,2017,3544136,3554215,3554215,3554215
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0504,11930,Nutrition Services Incentive Program,NUTRITION SERVICES INCENTIVE PROGRAM,8414440,10272714,2017,10272714,10272714,10272714,10272714
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,11967,TITLE XX SOC.SERV.BLOCK GRANT,TITLE XX SOCIAL SERVICE BLOCK,20551332,20551332,2017,20551332,20551332,20551332,20551332
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,11980,MEDICAL ASSISTANCE PROGRAM,NY CONNECTS EXPANSION AND ENHANCEMENT PGM,2272267,4617086,2017,4617086,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,6085,11980,MEDICAL ASSISTANCE PROGRAM,BIP-CAREGIVER PROGRAM,0,1193771,2017,1193771,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,12508,HEALTH INSURANCE ASSISTANCE PM,HLTH INSUR. INFO. COUNSELING.,583746,583746,2017,583746,583746,583746,583746
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,12509,TITLE 3D HEALTH PROMOTION,TITLE III-D HEALTH PROMOTION,667026,1451498,2017,1451498,667026,667026,667026
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,12510,TITLE VII ELDER ABUSE PRVNTION,TITLE VII - ELDER ABUSE PREVEN,222872,0,2017,0,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,0100,12517,TITLE E - CAREGIVER SUPPORT,TITLE III-E CAREGIVER SUPPORT,4122160,3514168,2017,3514168,3514168,3514168,3514168
2016 11 17,2017,Federal Grants,35,Other - Federal,125,Department for the Aging,25,Federal Grants-Categorical,293,Health and Human Services,1504,13028,MEDICARE ENROLLMENT,MEDICARE IMPROVEMENTS (MMIPPA),169368,169368,2017,169368,169368,169368,169368
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,214,HOUSING AND URBAN DEVELOPMENT,3112,00923,EMERGENCY SHELTER GRANTS PROGRAM,EMERGENCY SHELTER GRANT,0,98217,2017,98217,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,210,AGRICULTURE,3560,03002,CHILD AND ADULT CARE FOOD PROGRAM,CHILD AND ADULT CARE FOOD PGM -CACFP,0,11606536,2017,11606536,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,293,Health and Human Services,3112,11957,TEMPORARY ASSISTANCE FOR NEEDY FAMILIES,TEMP. ASST. NEEDY FAM (TANF),0,16005796,2017,16005796,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,293,Health and Human Services,0500,15905,COMMUNITY SERVICE BLOCK GRANT,COMMUNITY ACTION BLOCK GRANT,28576101,36618184,2017,36618184,28576101,28576101,28576101
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,217,LABOR,0500,16150,W.I.A. OUT OF SCHOOL YOUTH,W.I.A. OUT OF SCHOOL YOUTH,16541104,16541104,2017,16541104,16541104,16541104,16541104
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,217,LABOR,0500,16151,W.I.A. IN SCHOOL YOUTH,W.I.A. IN SCHOOL YOUTH,5513702,5513702,2017,5513702,5513702,5513702,5513702
2016 11 17,2017,Federal Grants,35,Other - Federal,260,Department of Youth and Community Development,25,Federal Grants-Categorical,217,LABOR,0500,16154,WORKFORCE INVESTMENT ACT CENTRAL ADMINIS,W.I.A. CENTRAL ADMIN.,2450534,2450534,2017,2450534,2450534,2450534,2450534
2016 11 17,2017,Federal Grants,35,Other - Federal,781,Department of Probation,25,Federal Grants-Categorical,216,JUSTICE,0431,04279,Second Chance Act Prisoners Reentry,PROJECT PACS,358025,358025,2017,358025,73507,36000,0
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,214,HOUSING AND URBAN DEVELOPMENT,B710,00934,CDBG-Disaster Recovery NY Rising,CDBG-DISASTER RECOVERY NY RISING,2365922,5839792,2017,5839792,1537805,337098,0
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,214,HOUSING AND URBAN DEVELOPMENT,0341,01235,COMMUNITY DEVELOPMENT BLOCK GRANT,LMDC SMALL FIRM ASSISTANCE,0,1644085,2017,1644085,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,212,DEFENSE,0318,03100,PROCUREMENT TECHNICAL ASSISTANCE,PROCUREMENT OUTREACH PGM-YR 18,299196,299196,2017,299196,299196,299196,299196
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,297,DEPARTMENT of  HOMELAND SECURITY,E999,03304,FEMA Sandy E Buildings and Equipment,FEMA SANDY E BUILDINGS AND EQUIPMENT,0,2521379,2017,2521379,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,220,TRANSPORTATION,1706,06014,HIGHWAY PLANNING AND CONSTRUCTION,ROCKAWAY FERRIES - FHWA,0,620000,2017,620000,0,0,0
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,0510,16149,WORKFORCE INVESTMENT ACT - ADULT,WORKFORCE INVESTMENT ACT-ADULT,1534381,1534381,2017,1534381,1534381,1534381,1534381
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,1100,16149,WORKFORCE INVESTMENT ACT - ADULT,W.I.A.BUSINESS DEVELOPMENT DIV,3289309,3289309,2017,3289309,3289309,3289309,3289309
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,1200,16149,WORKFORCE INVESTMENT ACT - ADULT,W.I.A.WORKFORCE DEVELOPMT DIV,17879758,17226284,2017,17226284,17879758,17880561,17880561
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,1206,16149,WORKFORCE INVESTMENT ACT - ADULT,W.I.A.WORKFORCE INVESTMENT BRD,24031,24031,2017,24031,24031,24031,24031
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,1300,16149,WORKFORCE INVESTMENT ACT - ADULT,W.I.A.FMA & EXECUTIVE,1409690,1409690,2017,1409690,1409690,1409473,1409473
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,0510,16152,W.I.A.  DISLOCATED WORKERS,DW-INDIVIDUAL SERVICE PROVIDER,1506793,1506793,2017,1506793,1506793,1506793,1506793
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,1100,16152,W.I.A.  DISLOCATED WORKERS,W.I.A.BUSINESS DEVELOPMENT DIV,1790991,1790991,2017,1790991,1790991,1790991,1790991
2016 11 17,2017,Federal Grants,35,Other - Federal,801,Department of Small Business Services,25,Federal Grants-Categorical,217,LABOR,1200,16152,W.I.A.  DISLOCATED WORKERS,W.I.A.WORKFORCE DEVELOPMT DIV,9728517,10381991,2017,10381991,9728517,9729320,9729320
